                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 0.9598,                0.72945,                0.92148,                 0.0796,                0.01562,                0.00279,                0.00084,                 4.0385,                 8.9523,                 2.7214,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.0155,                0.72764,                0.96417,                0.08738,                0.01562,                0.00456,                0.00091,                 4.2591,                   9.72,                 2.8952,              0.0009605,              0.0009605,              0.0009605
                    107,                0.99264,                0.67676,                0.91712,                0.10809,                0.01562,                0.00849,                 0.0017,                 4.2134,                 9.4957,                 2.9227,              0.0009506,              0.0009506,              0.0009506
                    108,                0.89973,                0.72923,                0.85106,                0.05508,                0.01562,                0.00236,                0.00071,                 4.0055,                 9.6291,                 2.9236,              0.0009407,              0.0009407,              0.0009407
                    109,                  1.049,                0.73168,                0.94989,                0.05056,                0.01562,                 0.0018,                0.00054,                  3.961,                  9.443,                 2.7559,              0.0009308,              0.0009308,              0.0009308
                    110,                0.85214,                0.66817,                0.93165,                0.04295,                0.01562,                0.00185,                0.00055,                 4.0437,                  10.02,                 2.9215,              0.0009209,              0.0009209,              0.0009209
                    111,                0.96601,                0.71915,                0.97356,                0.06024,                0.01562,                0.00273,                0.00055,                  3.971,                 9.4848,                 2.7137,               0.000911,               0.000911,               0.000911
                    112,                 1.0167,                0.73993,                0.99548,                0.09586,                0.01562,                0.00526,                0.00105,                 4.1801,                 9.0686,                 2.8049,              0.0009011,              0.0009011,              0.0009011
                    113,                0.92981,                 0.6738,                0.97404,                 0.0993,                0.01562,                0.00549,                0.00147,                 4.2486,                 9.0473,                 2.8001,              0.0008912,              0.0008912,              0.0008912
                    114,                0.94971,                0.63973,                0.96298,                0.04965,                0.01562,                0.00225,                0.00067,                  4.188,                 8.8896,                 2.7657,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.0324,                0.74385,                0.96162,                0.06673,                0.01562,                0.00465,                 0.0014,                 4.1632,                 8.6893,                 2.7083,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.0991,                0.82604,                0.97781,                0.16353,                0.01562,                0.00834,                 0.0025,                 4.1023,                 8.4228,                 2.7119,              0.0008615,              0.0008615,              0.0008615
                    117,                0.89077,                 0.6316,                0.95878,                0.23685,                0.01562,                0.00827,                0.00248,                 3.9996,                 8.4155,                 2.8285,              0.0008516,              0.0008516,              0.0008516
                    118,                  1.001,                0.72485,                0.97947,                0.16097,                0.01562,                0.00824,                0.00247,                 4.1143,                 8.9821,                 2.8904,              0.0008417,              0.0008417,              0.0008417
